ticker,year,month,industry,assets,current_assets,non_current_assets,cash,trade_receivables,inventories,ppe,intangibles,goodwill,liabilities,current_liabilities,non_current_liabilities,debt_short_term,debt_long_term,borrowings,trade_payables,equity,equity_parent,minority_interest,issued_capital,retained_earnings,revenue,cost_of_sales,gross_profit,distribution_costs,administrative_expense,other_income,other_expense,employee_benefits,operating_income,ebit,finance_income,finance_costs,profit_before_tax,income_tax,net_income,net_income_parent,cfo,depreciation_amortization,capex,investing_cf,dividends_paid,proceeds_from_borrowings,repayment_of_borrowings,financing_cf,net_change_cash,deposits_from_customers,loans_to_customers,eps_basic,eps_diluted,shares_outstanding
AAISA.SN,2022,12,non_financial,285683433.0,89200440.0,196482993.0,72310980.0,4440329.0,,8352864.0,36882510.0,5094968.0,45820382.0,31615923.0,14204459.0,,,,20244071.0,239863051.0,239808743.0,54308.0,891816.0,263225120.0,68082093.0,1142564.0,66939529.0,,52866122.0,20470.0,27180.0,22956831.0,14066697.0,18404042.0,5016081.0,273037.0,18404042.0,-1750640.0,20154682.0,20148964.0,15079951.0,2697924.0,-912060.0,-12382198.0,3500000.0,,,-4399563.0,-5121394.0,,,0.02,,1000000000.0
AAISA.SN,2023,12,non_financial,361261557.0,104005264.0,257256293.0,76745948.0,8315120.0,,7631993.0,36582967.0,5018357.0,68845778.0,55069479.0,13776299.0,,,,28283872.0,292415779.0,292307724.0,108055.0,891816.0,281422427.0,111180751.0,949672.0,110231079.0,,78878184.0,33757.0,14575.0,32684094.0,31372077.0,39361576.0,8844679.0,271577.0,39361576.0,8197620.0,31163956.0,31145357.0,21494729.0,2733386.0,-265567.0,-9149416.0,10000000.0,,,-10739425.0,4434968.0,,,0.031,,1000000000.0
AAISA.SN,2024,12,non_financial,495017875.0,118613322.0,376404553.0,100358649.0,5557607.0,,8362454.0,36657257.0,5018357.0,172902363.0,42172084.0,130730279.0,,,,33196444.0,322115512.0,321977013.0,138499.0,891816.0,306791842.0,147794688.0,828126.0,146966562.0,,103280265.0,310639.0,17255.0,47967159.0,43979681.0,50410265.0,8027521.0,1038577.0,50410265.0,13011938.0,37398327.0,37366716.0,115864793.0,3249387.0,-1114581.0,-82612227.0,10000000.0,,,-11335481.0,23612701.0,,,0.037,,1000000000.0
AAISA.SN,2025,12,non_financial,797313802.0,131888480.0,665425322.0,99179628.0,4177250.0,,7888906.0,39495799.0,5018357.0,430300111.0,48632263.0,381667848.0,,,,37415671.0,367013691.0,366820540.0,193151.0,891816.0,340380184.0,202147152.0,27624733.0,174522419.0,,110380376.0,394430.0,,53592086.0,64536473.0,70900406.0,7046006.0,495414.0,70900406.0,22455605.0,48444801.0,48397611.0,238380455.0,3710113.0,-434823.0,-228426982.0,14809269.0,,,-13079652.0,-1179021.0,,,0.048,,1000000000.0
AGUAS-A.SN,2012,12,non_financial,1546225479000.0,121282743000.0,1424942736000.0,35644437000.0,78138154000.0,4383030000.0,1152300877000.0,261505529000.0,36233012000.0,861973201000.0,166752321000.0,695220880000.0,,,,74682140000.0,684252278000.0,621754411000.0,62497867000.0,155567354000.0,308088569000.0,382885743000.0,,,,,628694000.0,73131256000.0,38668809000.0,187341925000.0,157547648000.0,8291012000.0,24170380000.0,157547648000.0,35793146000.0,121754502000.0,121269559000.0,203418938000.0,55209591000.0,-97590330000.0,-105369199000.0,115387450000.0,138973863000.0,,-67456801000.0,30592938000.0,,,19.82,,6118965160.0
AGUAS-A.SN,2013,12,non_financial,1577710764000.0,132971507000.0,1444739257000.0,38658981000.0,87948143000.0,3608089000.0,1171182828000.0,263580281000.0,36233012000.0,900042114000.0,220195354000.0,679846760000.0,,,,90032192000.0,677668650000.0,616541088000.0,61127562000.0,155567354000.0,302875246000.0,402623592000.0,,,,,1326676000.0,87474313000.0,40455749000.0,183898783000.0,149020727000.0,6965852000.0,28885840000.0,149020727000.0,29311608000.0,119709119000.0,116675534000.0,204344918000.0,64704889000.0,-116823900000.0,-119029257000.0,89329355000.0,50933592000.0,-43700509000.0,-82301117000.0,3014544000.0,,,19.0679,,6118965160.0
AGUAS-A.SN,2014,12,non_financial,1606471626.0,127110555.0,1479361071.0,26202154.0,94559029.0,3902943.0,1188402068.0,268407762.0,36233012.0,940073855.0,176505576.0,763568279.0,,,,83324297.0,666397771.0,610763619.0,55634152.0,155567354.0,297097777.0,440734172.0,10341300.0,,,,414486.0,91583058.0,45331445.0,207826260.0,148105682.0,5303835.0,30738756.0,148105682.0,25045174.0,123060508.0,119422474.0,204599475.0,66225212.0,-81834787.0,-83618734.0,120854347.0,188889822.0,-201061084.0,-133437568.0,-12456827.0,,,20111.0,19.52,6118965160.0
AGUAS-A.SN,2015,12,non_financial,1691197848.0,148629745.0,1542568103.0,32953529.0,99965706.0,3643700.0,1248135284.0,266760701.0,36233012.0,1019607381.0,232407312.0,787200069.0,,,,92538326.0,671590467.0,617195977.0,54394490.0,155567354.0,303530135.0,473396705.0,10588122.0,,,,-4088.0,102730479.0,50688949.0,214227341.0,166367582.0,6582547.0,27905133.0,166367582.0,33683724.0,132683858.0,129008145.0,214469492.0,68392082.0,-88060184.0,-91751420.0,124757206.0,65243496.0,-56294588.0,-115966697.0,6751375.0,,,21.0833,21.08,6118965160.0
AGUAS-A.SN,2016,12,non_financial,1771819136.0,182071355.0,1589747781.0,64876443.0,106288544.0,3309945.0,1294570086.0,264184496.0,36233012.0,1084936711.0,211931051.0,873005660.0,,,,101917169.0,686882425.0,634157180.0,52725245.0,155567354.0,320491338.0,492002980.0,11127313.0,,,,14597521.0,113424936.0,53621906.0,239101197.0,198279921.0,6473964.0,27117541.0,198279921.0,43442462.0,154837459.0,150575666.0,234098851.0,67009703.0,-113173475.0,-93180602.0,134644071.0,101104531.0,-75455795.0,-108995335.0,31922914.0,,,24.608,24.61,6118965160.0
AGUAS-A.SN,2017,12,non_financial,1796880136.0,150618761.0,1646261375.0,18808340.0,113515790.0,3925378.0,1351763816.0,263317511.0,36233012.0,1103580659.0,237111903.0,866468756.0,,,,108692567.0,693299477.0,642630776.0,50668701.0,155567354.0,328964934.0,509540577.0,,,,,2608255.0,120462471.0,55548304.0,226819054.0,189822878.0,6052997.0,31112258.0,189822878.0,46340625.0,143482253.0,139620280.0,213469168.0,74394154.0,-112299077.0,-113828958.0,141462187.0,111446006.0,-115692132.0,-145708313.0,-46068103.0,,,22.8176,22.818,6118965160.0
